temp,vapour pressure,PET(Pote0tial Evapo-Tra0spiratio0),rainfall,rain
22.31,35.85,5.35,4.15,0
22.4,25.85,5.88,0.98,0
24.7,22.79,6.67,0.19,0
27.15,24.06,7.45,4.55,0
28.71,35,7.66,32.72,1
26.14,46.19,7.21,191.15,1
24.6,70.02,5.87,55.36,1
23.99,80,5.33,38.32,1
23.85,72.95,5.42,78.44,1
25.06,63.78,5.77,68.04,1
24.33,58.3,5.45,183.54,1
23.35,46.32,5.3,35.81,1
22.2,35.85,5.28,9.38,0
23.5,25.85,5.92,0.03,0
24.78,22.79,6.68,0.02,0
27.64,24.06,7.53,0.26,0
27.91,35,7.59,47.8,1
27.73,46.3,7.28,204.38,1
24.66,70.02,5.91,191.57,1
23.58,80,5.32,69.05,1
23.62,72.95,5.41,86.44,1
25.02,63.78,5.78,85.2,1
24.29,58.18,5.47,285.12,1
22.66,45.97,5.27,26.57,1
21.87,35.85,5.34,0.32,0
21.39,25.85,5.79,0.07,0
24.74,22.79,6.67,0,0
26.48,24.06,7.45,0,0
28.1,35,7.58,10.61,1
26.87,46.3,7.21,108.71,1
24.81,70.02,5.88,159.07,1
24.26,80,5.34,149.41,1
24.09,72.95,5.46,80.33,1
24.63,63.78,5.76,100.15,1
24.39,58.18,5.43,159.65,1
23.54,45.97,5.33,50.4,1
21.44,35.85,5.28,1.04,0
22.22,25.85,5.85,0,0
24.16,22.79,6.63,0.02,0
26.69,24.06,7.43,24.73,1
28.2,35,7.58,40.83,1
27.82,46.3,7.27,122.39,1
25.3,70.02,5.92,127.3,1
24.28,80,5.35,85.22,1
24.46,72.95,5.49,92.28,1
24.13,63.78,5.75,152.13,1
24.2,58.18,5.42,180.65,1
23.14,45.97,5.3,34.26,1
21.67,35.85,5.28,73.32,1
22.5,25.85,5.86,0.43,0
24.59,22.79,6.67,1.41,0
26.98,24.06,7.47,4.87,0
27.74,35,7.55,18.34,1
27.69,46.3,7.24,92.14,1
25.07,70.02,5.92,43.56,1
23.75,80,5.31,98.22,1
24.59,72.95,5.46,49.76,1
24.82,63.78,5.81,51.71,1
24.27,58.18,5.47,199.81,1
22.47,45.97,5.27,35.93,1
21.25,35.85,5.28,6.67,0
22.37,25.85,5.83,16.37,1
24.98,22.79,6.7,0.1,0
26.47,24.06,7.46,15.62,1
28.07,35,7.6,36.34,1
26.25,46.3,7.16,170.96,1
25.95,70.02,5.91,90,1
24.17,80,5.35,96.59,1
24.61,72.95,5.47,162.77,1
24.73,63.78,5.77,158.1,1
24.52,58.18,5.42,174.22,1
24.48,45.97,5.36,19.97,1
22.23,35.85,5.35,0.25,0
22.98,19,6.03,0.03,0
24.35,11.18,6.87,0.04,0
27.08,22.15,7.51,0.7,0
27.69,34.52,7.55,101.24,1
28.27,45.1,7.29,126.53,1
25.05,77.03,5.78,206.44,1
24.58,84.16,5.29,51.53,1
24.17,78.71,5.36,203.06,1
24.44,77.12,5.52,171.74,1
24.14,56.25,5.45,184.89,1
23.75,54.42,5.17,13.34,1
21.86,49.54,5.07,21.87,1
22.61,31.06,5.78,4.44,0
24.66,16.22,6.82,0,0
26.58,28.48,7.39,22.58,1
26.85,34.34,7.5,73.29,1
27.6,46.71,7.18,83.37,1
26.43,66.86,6.02,76.1,1
24.84,87.23,5.27,33.48,1
24.52,76.24,5.42,114.25,1
25.21,64.07,5.79,161.38,1
24.9,46.76,5.69,314.38,1
24.35,55.06,5.15,180.44,1
23.12,47.56,5.15,27.5,1
23.53,23.82,5.96,0.03,0
25.72,17.86,6.81,0.18,0
27.92,21.18,7.57,0.19,0
28.91,30.16,7.72,95.81,1
28.08,51.58,7.17,125.06,1
26.26,75.43,5.89,59.41,1
24.55,81.26,5.36,214.57,1
24.76,76.35,5.43,256.6,1
24.59,74.17,5.58,144.88,1
24.51,60.5,5.39,219.25,1
23.91,44.86,5.35,57.15,1
22.48,45.4,5.17,45.44,1
22.71,22.68,5.96,0.04,0
24.47,18.68,6.73,10.57,0
27.49,27,7.43,0.56,0
27.89,33.22,7.65,77.58,1
25.82,59.38,6.91,226.05,1
24.77,66.85,5.91,73.12,1
24.24,84.33,5.25,99.26,1
24.56,71.26,5.5,68.21,1
25.22,60.32,5.87,100.09,1
24.7,58.75,5.46,194.14,1
23.53,36.84,5.5,67.57,1
22.09,41.6,5.21,5.65,0
23.17,23.04,5.94,0.04,0
25.03,36.93,6.46,11.83,1
26.54,20.46,7.52,0.07,0
28.09,33.22,7.61,80.11,1
26.86,46.22,7.24,73.29,1
24.39,84.61,5.58,89.69,1
24.06,79.21,5.35,99.86,1
24.07,73.16,5.44,193.46,1
24.91,63.67,5.79,132.48,1
24.34,60.58,5.4,291.84,1
23.75,39.67,5.45,13.41,1
21.9,35.44,5.32,14.7,1
23.2,36.97,5.65,0.46,0
26.06,19.39,6.81,0.12,0
27.43,27.89,7.47,3.65,0
28.13,39.5,7.51,102.72,1
27.4,45.97,7.26,71.6,1
25.16,84.44,5.61,35.69,1
24.73,82.74,5.34,97.21,1
24.16,76.56,5.38,64.21,1
25.32,68.42,5.72,150.75,1
24.21,60.91,5.39,165.14,1
23.77,45.88,5.33,32.04,1
22.21,44.84,5.15,8.25,1
23.35,34.91,5.78,0.61,0
24.13,24.29,6.64,0.12,0
27.28,26.14,7.42,0.71,0
28.56,29.63,7.71,10.39,1
27.5,56.99,7.05,218.1,1
25.29,79.28,5.73,160.31,1
24.93,73.37,5.5,33.81,1
24.72,71.76,5.5,40.27,1
25.87,55.25,5.99,60.21,1
25.09,60.42,5.47,183.97,1
23.67,41.47,5.41,35.17,1
22.78,36.1,5.35,4.54,0
21.78,22.91,5.86,0,0
24.94,24.2,6.66,2.76,0
26.83,24.08,7.48,13.52,1
28.78,33.19,7.71,40.6,1
27.06,45.48,7.32,127.33,1
24.48,74.13,5.79,78.87,1
23.39,80.73,5.22,181.75,1
23.68,75.47,5.32,103.37,1
23.67,66.52,5.64,159.58,1
23.46,63.03,5.31,170.81,1
21.97,44.14,5.27,121.38,1
20.99,31.81,5.36,2.75,0
20.7,24.93,5.79,0,0
23.25,18.15,6.64,0,0
26.84,21.76,7.51,0.66,0
27.34,34.27,7.61,111.72,1
27.26,42.14,7.32,60.45,1
25.56,60.17,6.08,18.92,1
24.29,78.47,5.33,52.09,1
23.99,71.94,5.39,92.22,1
24.58,61.92,5.75,50.83,1
24.77,53.43,5.54,55.08,1
