temp,vapour pressure,PET(Pote0tial Evapo-Tra0spiratio0),rain
23.39,80.73,5.22,1
23.68,75.47,5.32,1
23.67,66.52,5.64,1
23.46,63.03,5.31,1
21.97,44.14,5.27,1
27.34,34.27,7.61,1
27.26,42.14,7.32,1
25.56,60.17,6.08,1
24.29,78.47,5.33,1
23.99,71.94,5.39,1
24.58,61.92,5.75,1
24.77,53.43,5.54,1
23.37,49.69,5.24,1
26.7,24.04,7.47,1
28.08,35.27,7.65,1
26.12,47.22,7.2,1
24.7,70.41,5.83,1
23.88,80.91,5.24,1
24.07,74.09,5.36,1
24.69,62.29,5.77,1
23.97,58.72,5.41,1
23.47,50.32,5.22,1
24.2,24.02,6.63,1
28.08,33,7.67,1
26.7,45.78,7.29,1
23.78,72.16,5.77,1
23.28,81.6,5.18,1
23.52,74.59,5.31,1
24.11,63.04,5.7,1
24.43,55.03,5.49,1
29.15,33.48,7.72,1
28.04,44.78,7.37,1
25.38,69.3,5.9,1
24.71,79.61,5.33,1
24.05,72.97,5.41,1
23.9,63.01,5.71,1
24.26,57.2,5.44,1
22.03,34.31,5.34,1
23.51,22.44,6.66,1
25.56,23.02,7.4,1
27.47,33.48,7.57,1
28.16,44.78,7.36,1
24.43,70.07,5.87,1
23.62,80,5.24,1
24.04,72.97,5.37,1
24.53,63.01,5.75,1
23.99,56.37,5.46,1
27.26,22.29,7.55,1
28.43,33.48,7.69,1
27.65,44.78,7.36,1
24.11,69.27,5.86,1
23.67,80,5.22,1
24.15,72.97,5.37,1
25.06,63.01,5.79,1
23.86,56.76,5.48,1
22.64,43.62,5.28,1
21.92,24.31,5.9,1
24.1,21.59,6.65,1
25.04,80,5.33,1
24.42,72.97,5.4,1
25.69,63.01,5.79,1
24.7,56.37,5.51,1
23.7,44.17,5.37,1
22.28,34.31,5.39,1
